Repository,Stars,Created At,Open Issues,Total Pull Requests,Total Releases,Language,Closed Issues
awesome-compose,41017,2020-02-13T08:51:42Z,277,452,0,HTML,40
styled-components,40889,2016-08-16T06:41:32Z,327,1341,176,TypeScript,2651
black,40864,2018-03-14T19:54:45Z,360,1939,46,Python,2395
zig,40754,2015-08-06T00:51:28Z,3702,11686,20,Zig,9724
vuetify,40706,2016-09-12T00:39:35Z,672,5991,606,TypeScript,14418
hexo,40690,2012-09-23T15:17:08Z,94,1314,114,TypeScript,3912
TrafficMonitor,40664,2017-07-30T02:51:17Z,1183,97,26,C++,714
Summer2026-Internships,40517,2020-05-23T20:53:18Z,7,1950,0,,3883
cli,40453,2019-10-03T15:24:53Z,872,0,175,Go,0
fastlane,40444,2014-12-02T17:00:38Z,917,0,552,Ruby,0
fanqiang,40338,2015-01-14T00:34:25Z,330,0,3,Kotlin,0
mitmproxy,40303,2010-02-16T04:10:13Z,372,0,77,Python,0
pure-bash-bible,40042,2018-06-13T01:39:33Z,62,0,0,Shell,0
penpot,40003,2015-12-29T22:09:07Z,506,0,59,Clojure,0
tabler,39977,2018-02-01T09:08:59Z,99,0,51,HTML,0
cheat.sh,39960,2017-05-07T21:40:56Z,137,0,0,Python,0
WeChatMsg,39938,2023-01-11T05:03:49Z,25,0,0,,0
DeepSpeed,39896,2020-01-23T18:35:18Z,1206,0,98,Python,0
AI-For-Beginners,39844,2021-03-03T16:27:36Z,46,0,0,Jupyter Notebook,0
zod,39743,2020-03-07T20:59:08Z,251,0,184,TypeScript,0
gradio,39663,2018-12-19T08:24:04Z,435,0,4041,Python,0
helix,39651,2020-06-01T04:26:56Z,1228,0,30,Rust,0
50projects50days,39631,2020-11-16T14:39:01Z,24,0,0,CSS,0
ai-hedge-fund,39625,2024-11-29T16:30:01Z,41,0,0,Python,0
awesome-remote-job,39603,2015-01-02T00:31:34Z,8,0,0,,0
chakra-ui,39602,2019-08-17T14:27:54Z,9,0,3543,TypeScript,0
slidev,39566,2021-04-24T01:25:23Z,158,0,394,TypeScript,0
legado,39544,2019-05-22T04:18:58Z,73,1602,115,Kotlin,2941
MoneyPrinterTurbo,39514,2024-03-11T02:57:34Z,190,172,9,Python,393
winutil,39475,2022-04-28T02:25:19Z,205,1273,22,PowerShell,1710
bert,39465,2018-10-25T22:57:34Z,885,208,0,Python,355
wrk,39427,2012-03-20T11:12:28Z,201,131,0,C,262
php-src,39401,2011-06-16T01:52:25Z,1517,15005,23,C,3519
zju-icicles,39400,2016-06-28T16:17:32Z,10,262,0,HTML,69
fd,39373,2017-05-09T21:27:10Z,150,776,41,Rust,788
upscayl,39319,2022-07-30T17:19:20Z,63,133,29,TypeScript,894
esbuild,39266,2016-06-14T16:08:50Z,562,463,301,Go,3249
Deep-Learning-Papers-Reading-Roadmap,39242,2016-10-14T11:49:48Z,91,89,0,Python,5
English-level-up-tips,39215,2017-05-30T07:18:52Z,30,36,0,HTML,72
video.js,39070,2010-05-14T18:45:10Z,611,3223,332,JavaScript,4807
FastChat,39040,2023-03-19T00:18:02Z,954,1214,14,Python,1066
pandoc,38971,2010-03-20T20:34:23Z,1055,2177,147,Haskell,7022
materialize,38969,2014-09-12T19:35:38Z,791,0,41,JavaScript,0
tidb,38949,2015-09-06T04:01:52Z,5260,0,210,Go,0
vim,38851,2015-08-18T21:03:56Z,1576,0,0,Vim Script,0
mem0,38840,2023-06-20T08:58:36Z,494,0,265,Python,0
gorm,38768,2013-10-25T08:31:38Z,481,0,6,Go,0
tmux,38703,2015-06-03T23:32:55Z,67,0,37,C,0
remote-jobs,38688,2015-10-13T03:49:25Z,29,0,0,JavaScript,0
ray,38683,2016-10-25T19:38:30Z,3035,0,109,Python,0
curl,38669,2010-03-18T22:32:22Z,32,0,91,C,0
chatgpt-on-wechat,38651,2022-08-07T08:33:41Z,347,0,63,Python,0
aria2,38579,2010-11-27T09:41:48Z,1113,0,24,C++,0
RSSHub,38498,2018-04-02T14:43:21Z,395,0,0,TypeScript,0
styleguide,38460,2015-05-20T19:18:59Z,165,0,0,HTML,0
daisyui,38449,2020-11-28T22:57:27Z,49,0,104,Svelte,0
bark,38424,2023-04-07T19:34:48Z,256,0,0,Jupyter Notebook,0
plane,38402,2022-11-19T12:55:01Z,507,0,48,TypeScript,0
