Repository,Stars,Created At,Open Issues,Total Pull Requests,Total Releases,Language,Closed Issues
freeCodeCamp,426727,2014-12-24T17:49:19Z,299,40674,0,TypeScript,19653
build-your-own-x,414847,2018-05-09T12:03:18Z,422,478,0,Markdown,595
awesome,395645,2014-07-11T13:42:37Z,55,2163,0,,340
free-programming-books,366644,2013-10-11T06:50:37Z,38,10222,0,Python,1152
public-apis,363212,2016-03-20T23:49:42Z,566,3516,0,Python,704
developer-roadmap,334856,2017-03-15T13:45:52Z,281,5375,1,TypeScript,2693
coding-interview-university,325220,2016-06-06T02:34:12Z,80,1009,0,,453
system-design-primer,317895,2017-02-26T16:15:28Z,515,599,0,Python,91
996.ICU,274183,2019-03-26T07:31:14Z,16696,1912,0,,0
awesome-python,257138,2014-06-27T21:00:06Z,490,2038,0,Python,0
awesome-selfhosted,244089,2015-06-01T02:33:17Z,0,2986,1,,806
project-based-learning,241528,2017-04-12T05:07:46Z,239,459,0,,80
react,238448,2013-05-24T16:15:54Z,1025,0,105,JavaScript,0
vue,209307,2013-07-29T03:24:51Z,604,0,249,TypeScript,0
Python,204910,2016-07-16T09:44:01Z,412,0,0,Python,0
linux,200897,2011-09-04T22:48:12Z,494,0,0,C,0
javascript-algorithms,193111,2018-03-24T07:47:04Z,369,0,0,JavaScript,0
tensorflow,191370,2015-11-07T01:19:20Z,1509,0,219,C++,0
computer-science,191145,2014-05-04T00:18:39Z,15,0,0,HTML,0
the-book-of-secret-knowledge,183960,2018-06-23T10:43:14Z,101,0,0,,0
You-Dont-Know-JS,183080,2013-11-16T02:37:24Z,125,0,0,,0
CS-Notes,181612,2018-02-13T14:56:24Z,189,0,0,,0
ohmyzsh,181009,2009-08-28T18:15:37Z,502,0,0,Shell,0
AutoGPT,178124,2023-03-16T09:21:07Z,208,6113,69,Python,3245
vscode,176159,2015-09-03T20:23:38Z,12951,42813,177,TypeScript,193937
bootstrap,173100,2011-07-29T21:19:00Z,567,15607,94,MDX,22348
flutter,172168,2015-03-06T22:54:58Z,12196,64232,7,Dart,97052
Python-100-Days,171444,2018-03-01T16:05:52Z,737,367,0,Jupyter Notebook,118
gitignore,168960,2010-11-08T20:17:14Z,313,4528,0,,0
the-art-of-command-line,157928,2015-05-20T15:11:03Z,250,591,0,,136
stable-diffusion-webui,156002,2022-08-22T14:05:26Z,2423,3239,27,Python,5468
JavaGuide,151451,2018-05-07T13:27:00Z,72,1493,0,Java,1032
ollama,151130,2023-06-26T19:39:32Z,2148,3786,145,Go,6269
awesome-go,151023,2014-07-06T13:42:15Z,148,4868,0,Go,682
transformers,148922,2018-10-29T13:56:00Z,1969,22099,224,Python,16770
javascript,147321,2012-11-01T23:13:50Z,177,1646,0,JavaScript,1271
Microsoft-Activation-Scripts,146250,2020-01-12T23:03:34Z,1,45,24,Batchfile,725
youtube-dl,137085,2010-10-31T14:35:07Z,4144,4832,341,Python,23121
next.js,134057,2016-10-05T23:32:51Z,3320,0,3251,JavaScript,0
n8n,133391,2019-06-22T09:24:21Z,1111,0,386,TypeScript,0
awesome-chatgpt-prompts,133315,2022-12-05T13:54:13Z,282,0,0,JavaScript,0
go,129625,2014-08-19T04:33:40Z,9526,0,0,Go,0
tech-interview-handbook,129282,2016-07-05T05:00:48Z,54,0,0,TypeScript,0
fucking-algorithm,129071,2020-02-19T09:01:23Z,42,0,1,Markdown,0
scrcpy,127220,2017-11-21T18:00:27Z,2517,0,47,C,0
HelloGitHub,126558,2016-05-04T06:24:11Z,194,0,57,Python,0
30-seconds-of-code,125113,2017-11-29T17:35:03Z,0,0,12,JavaScript,0
yt-dlp,124482,2020-10-26T04:22:55Z,2018,0,119,Python,0
react-native,123574,2015-01-09T18:10:16Z,1019,0,410,C++,0
PowerToys,122682,2019-05-01T17:44:02Z,7097,0,117,C#,0
electron,118068,2013-04-12T01:47:36Z,865,0,1743,C++,0
kubernetes,117121,2014-06-06T22:56:04Z,2557,0,756,Go,0
hello-algo,115850,2022-11-04T11:08:34Z,28,0,9,Java,0
free-programming-books-zh_CN,115080,2013-11-04T01:59:19Z,31,0,3,,0
langchain,114386,2022-10-17T02:58:36Z,373,0,956,Jupyter Notebook,0
node,112980,2014-11-26T19:57:11Z,2360,0,456,JavaScript,0
dify,112389,2023-04-12T07:40:24Z,818,0,141,TypeScript,0
d3,111370,2010-09-27T17:22:42Z,22,1190,194,Shell,2220
free-for-dev,111011,2015-03-18T21:06:26Z,13,3618,0,HTML,0
three.js,108306,2010-03-23T18:58:01Z,606,18303,171,JavaScript,12736
open-webui,108215,2023-10-06T22:08:27Z,262,4201,123,JavaScript,6050
langflow,107560,2023-02-08T22:28:03Z,861,6239,263,Python,2288
axios,107493,2014-08-18T22:30:27Z,303,1863,97,JavaScript,4643
excalidraw,106120,2020-01-02T01:04:43Z,2329,5187,14,TypeScript,2404
rust,106081,2010-06-16T20:39:03Z,11437,85785,140,Rust,48667
TypeScript,105752,2014-06-17T15:28:39Z,6064,18677,212,TypeScript,36892
deno,104047,2018-05-15T01:34:26Z,2363,15972,342,Rust,10935
nodebestpractices,104015,2017-09-15T08:33:19Z,82,965,0,Dockerfile,285
create-react-app,103470,2016-07-17T14:55:11Z,2330,4320,83,JavaScript,6567
GitHub-Chinese-Top-Charts,101632,2019-09-05T03:01:56Z,188,6,0,Java,161
godot,100667,2014-01-04T16:05:36Z,16288,50647,61,C++,46085
terminal,99536,2017-08-11T18:38:22Z,1651,4764,138,C++,11874
DeepSeek-V3,99055,2024-12-26T09:52:40Z,68,0,1,Python,0
angular,98567,2014-09-18T16:12:01Z,1435,0,473,TypeScript,0
frp,97996,2015-12-21T15:24:59Z,60,0,106,Go,0
papers-we-love,97590,2013-12-15T14:31:41Z,1,0,0,Shell,0
Awesome-Hacking,96911,2016-03-30T15:47:10Z,26,0,0,,0
iptv,96603,2018-11-14T22:00:57Z,457,0,0,TypeScript,0
rustdesk,96524,2020-09-28T15:36:08Z,72,0,31,Rust,0
material-ui,96481,2014-08-18T19:11:54Z,1760,0,547,TypeScript,0
generative-ai-for-beginners,96237,2023-06-19T16:28:59Z,10,0,0,Jupyter Notebook,0
tauri,96015,2019-07-13T09:09:37Z,1190,0,1493,Rust,0
ant-design,95811,2015-04-24T15:37:24Z,1272,0,714,TypeScript,0
ui,93811,2023-01-04T12:43:27Z,1706,0,53,TypeScript,0
thefuck,93767,2015-04-08T15:08:04Z,392,0,17,Python,0
clean-code-javascript,93722,2016-11-25T22:25:41Z,109,0,0,JavaScript,0
HowToCook,92899,2020-02-29T10:43:49Z,442,0,4,Dockerfile,0
pytorch,92737,2016-08-13T05:26:41Z,17017,0,61,Python,0
java-design-patterns,92587,2014-08-09T16:45:18Z,162,0,0,Java,0
neovim,92333,2014-01-31T13:39:22Z,1984,0,45,Vim Script,0
puppeteer,92187,2017-05-09T22:16:13Z,283,0,563,TypeScript,0
Web-Dev-For-Beginners,91631,2020-11-10T02:44:00Z,128,0,0,JavaScript,0
DeepSeek-R1,90999,2025-01-20T11:57:28Z,62,0,1,,596
FreeDomain,90396,2024-05-30T13:23:00Z,18,15,0,HTML,0
tailwindcss,89837,2017-10-06T14:59:14Z,95,3817,290,TypeScript,4473
vue-element-admin,89813,2017-04-17T03:35:49Z,1363,594,49,Vue,2357
fastapi,88875,2018-12-08T08:21:47Z,283,4662,208,Python,3418
every-programmer-should-know,88023,2017-08-24T13:18:26Z,56,169,0,,23
awesome-mac,87732,2016-07-17T15:33:47Z,152,1144,12,JavaScript,368
supabase,87729,2019-10-12T05:56:49Z,721,15618,22,TypeScript,4451
storybook,87610,2016-03-18T04:23:44Z,2196,14309,1617,TypeScript,11621
whisper,87359,2022-09-16T20:02:54Z,92,317,13,Python,0
ComfyUI,86844,2023-01-17T03:15:56Z,2764,2079,76,Python,3695
nvm,86623,2010-04-15T17:47:47Z,362,1129,70,Shell,2001
v2rayN,85704,2019-07-30T03:47:24Z,7,478,266,C#,6033
NextChat,85677,2023-03-10T18:27:54Z,761,2606,77,TypeScript,2886
llama.cpp,85646,2023-03-10T18:58:00Z,861,7261,4106,C++,5410
bitcoin,85236,2010-12-19T15:16:43Z,761,22742,56,C++,0
app-ideas,85031,2019-02-25T18:36:56Z,476,0,0,,0
django,84807,2012-04-28T02:47:18Z,359,0,0,Python,0
svelte,83944,2016-11-20T18:13:05Z,859,0,513,JavaScript,0
gin,83766,2014-06-16T23:57:25Z,874,0,27,Go,0
opencv,83716,2012-07-19T09:40:17Z,2760,0,66,C++,0
hugo,83110,2013-07-04T15:26:26Z,464,0,338,Go,0
mermaid,82480,2014-11-01T23:52:32Z,1427,0,164,TypeScript,0
realworld,82273,2016-02-26T20:49:53Z,48,0,0,TypeScript,0
animate.css,82093,2011-10-12T10:07:38Z,63,0,22,CSS,0
laravel,81960,2011-06-08T03:06:08Z,32,0,198,Blade,0
mall,81404,2018-04-04T01:11:44Z,12,0,3,Java,0
core,80963,2013-09-17T07:29:48Z,2877,0,1492,Python,0
manim,80209,2015-03-22T18:50:58Z,465,0,13,Python,0
bun,80087,2021-04-14T00:48:17Z,5287,0,197,Zig,0
FiraCode,80003,2014-11-11T19:32:38Z,416,0,29,Clojure,0
system-prompts-and-models-of-ai-tools,79641,2025-03-05T16:38:29Z,72,0,0,,0
spring-boot,78240,2012-10-19T15:02:57Z,590,0,320,Java,0
advanced-java,78162,2018-10-06T11:38:30Z,1,0,1,Java,0
devops-exercises,78068,2019-10-03T17:31:21Z,39,0,0,Python,0
models,77625,2016-02-05T01:15:20Z,1261,0,50,Python,0
awesome-for-beginners,77035,2015-10-24T19:53:36Z,38,1462,0,,174
ML-For-Beginners,76930,2021-03-03T01:34:05Z,9,552,0,HTML,141
awesome-interview-questions,76756,2015-11-28T09:48:17Z,49,232,0,,34
gpt4all,76564,2023-03-27T18:49:32Z,733,1181,38,C++,1488
playwright,76473,2019-11-15T18:32:42Z,874,17330,151,TypeScript,15498
LeetCodeAnimation,76415,2018-12-06T08:01:22Z,22,76,0,Java,42
funNLP,75707,2018-08-21T11:20:39Z,40,29,0,Python,47
netdata,75677,2013-06-17T18:39:10Z,235,12176,121,C,7950
syncthing,75640,2013-11-26T09:48:21Z,342,4516,440,Go,5374
Font-Awesome,75595,2012-02-17T14:19:43Z,3777,695,60,JavaScript,16005
github-readme-stats,75580,2020-07-09T10:34:22Z,340,2611,0,JavaScript,1112
system-design-101,75565,2023-09-18T20:52:03Z,52,46,0,,17
vite,74967,2020-04-21T05:03:57Z,617,7317,598,TypeScript,7628
union,74866,2023-05-16T22:33:39Z,289,3127,95,Rust,1590
json-server,74839,2013-11-27T13:21:13Z,720,418,38,JavaScript,549
immich,74573,2022-02-03T15:56:27Z,676,0,263,TypeScript,0
weekly,74489,2018-10-13T12:36:07Z,6066,0,0,,0
uptime-kuma,74284,2021-07-03T01:02:42Z,799,0,111,JavaScript,0
hoppscotch,73728,2019-08-21T13:15:24Z,529,0,84,TypeScript,0
elasticsearch,73660,2010-02-08T13:20:56Z,5361,0,206,Java,0
code-server,73612,2019-02-27T16:50:41Z,137,0,201,TypeScript,0
fzf,73290,2013-10-23T16:04:23Z,302,0,70,Go,0
awesome-vue,73212,2015-10-20T00:16:14Z,70,0,0,,0
Best-websites-a-programmer-should-visit,73141,2017-03-05T20:25:17Z,920,0,0,,0
Deep-Live-Cam,72782,2023-09-24T13:19:31Z,84,0,8,Python,0
nest,72447,2017-02-04T20:12:52Z,64,0,131,TypeScript,0
gemini-cli,72437,2025-04-17T17:04:31Z,1679,0,53,TypeScript,0
markitdown,72416,2024-11-13T19:56:40Z,333,0,15,Python,0
clash-verge-rev,72300,2023-11-21T18:24:03Z,147,0,50,TypeScript,0
d2l-zh,71958,2017-08-23T04:40:24Z,114,0,16,Python,0
stable-diffusion,71382,2022-08-10T14:36:44Z,607,0,0,Jupyter Notebook,0
Front-End-Checklist,71064,2017-10-16T10:12:36Z,2,0,1,,0
screenshot-to-code,70803,2023-11-14T17:53:32Z,127,0,0,Python,0
redis,70651,2009-03-21T22:32:25Z,2661,0,96,C,0
moby,70560,2013-01-18T18:10:57Z,3669,26841,237,Go,19930
flask,70235,2010-04-06T11:11:59Z,4,2662,37,Python,2690
Ventoy,70200,2020-03-10T15:19:19Z,955,503,105,C,1671
cs-video-courses,69649,2016-10-21T17:02:11Z,2,284,0,,0
grafana,69645,2013-12-11T15:59:56Z,3768,66190,550,TypeScript,37558
awesome-react,69591,2014-08-06T05:31:44Z,43,1337,0,,109
PayloadsAllTheThings,69518,2016-10-18T07:29:07Z,13,684,5,Python,0
awesome-machine-learning,69479,2014-07-15T19:11:19Z,6,945,0,Python,93
reveal.js,69479,2011-06-07T18:54:22Z,861,1103,49,JavaScript,1690
strapi,69315,2015-09-30T15:34:48Z,1155,11754,479,TypeScript,10218
gpt_academic,69161,2023-03-20T09:05:13Z,285,348,32,Python,1478
tesseract,69124,2014-08-12T18:04:59Z,450,1665,34,C++,2303
swift,68997,2015-10-23T21:15:07Z,8495,63276,60,C++,9443
protobuf,68910,2014-08-26T15:52:15Z,477,16297,195,C++,6411
browser-use,68817,2024-10-31T16:00:56Z,612,1564,77,Python,603
cpython,68568,2017-02-10T19:23:51Z,9304,0,0,Python,0
node,68470,2023-02-01T13:55:02Z,68,0,54,Go,0
sherlock,68266,2018-12-24T14:30:48Z,238,0,1,Python,0
awesome-mcp-servers,67892,2024-11-30T04:49:10Z,116,0,0,,0
imgui,67860,2014-07-21T14:29:47Z,1182,0,114,C++,0
superset,67771,2015-07-21T18:55:34Z,801,0,234,TypeScript,0
LLMs-from-scratch,67632,2023-07-23T18:15:57Z,4,0,0,Jupyter Notebook,0
express,67611,2009-06-26T18:56:01Z,193,0,160,JavaScript,0
new-pac,67569,2016-03-23T08:43:36Z,442,0,0,Python,0
openai-cookbook,67504,2022-03-11T02:08:53Z,78,0,0,Jupyter Notebook,0
cs-self-learning,66797,2021-10-20T13:43:42Z,124,0,5,HTML,0
localsend,66679,2022-12-16T00:46:07Z,806,0,24,Dart,0
obs-studio,66454,2013-10-01T02:40:31Z,973,0,223,C,0
caddy,66447,2015-01-13T19:45:03Z,219,0,130,Go,0
Chart.js,66442,2013-03-17T23:56:36Z,487,0,116,JavaScript,0
ansible,66097,2012-03-06T14:58:02Z,865,0,163,Python,0
uv,66072,2023-10-02T20:24:11Z,2130,0,209,Rust,0
servers,66068,2024-11-19T01:10:17Z,226,0,19,TypeScript,0
awesome-cpp,65947,2014-07-17T08:51:11Z,420,0,0,,0
tabby,65743,2016-12-23T09:06:10Z,2381,0,201,TypeScript,3429
33-js-concepts,65556,2018-09-04T13:27:04Z,82,456,0,JavaScript,81
webpack,65507,2012-03-10T10:08:14Z,210,7611,438,JavaScript,9973
act,65411,2019-01-02T19:53:43Z,249,1302,88,Go,1063
SecLists,65268,2012-02-19T01:30:18Z,6,871,28,PHP,292
AppFlowy,65129,2021-06-16T12:56:48Z,1023,4370,112,Dart,2646
gpt4free,65034,2023-03-29T17:00:43Z,10,1020,338,Python,1863
lobe-chat,64920,2023-05-21T07:19:12Z,1006,3362,1970,TypeScript,3457
javascript-questions,64828,2019-06-12T08:26:27Z,44,542,0,,233
awesome-scalability,64805,2017-12-27T03:46:40Z,15,95,0,,0
Stirling-PDF,64723,2023-01-27T18:22:42Z,372,2699,135,Java,1077
zed,64569,2021-02-20T03:01:06Z,2768,18606,974,Rust,11617
echarts,64489,2013-04-03T03:18:59Z,1970,2036,122,TypeScript,17249
interviews,64393,2017-02-14T18:19:25Z,115,171,0,Java,24
awesome-public-datasets,64345,2014-11-20T06:20:50Z,128,349,1,,48
lazygit,64138,2018-05-19T00:53:06Z,774,2044,169,Go,0
nocode,63836,2018-02-06T23:54:00Z,4613,0,1,Dockerfile,0
the-algorithm,63523,2023-03-27T14:57:57Z,463,0,0,Scala,0
anime,63496,2016-03-13T21:37:45Z,77,0,23,JavaScript,0
keras,63367,2015-03-28T00:35:42Z,295,0,81,Python,0
awesome-llm-apps,63274,2024-04-29T05:30:25Z,2,0,0,Python,0
ragflow,63258,2023-12-12T06:13:13Z,2735,0,32,TypeScript,0
scikit-learn,63158,2010-08-17T09:43:38Z,2167,0,47,Python,0
Java,63135,2016-07-16T10:21:02Z,12,0,0,Java,0
design-resources-for-developers,62883,2020-05-06T14:40:35Z,0,0,0,,0
annotated_deep_learning_paper_implementations,62847,2020-08-25T02:29:34Z,26,0,0,Python,0
Apollo-11,62660,2014-04-03T15:45:02Z,124,0,0,Assembly,0
OpenHands,62638,2024-03-13T03:33:31Z,497,0,76,Python,0
resume.github.com,62599,2011-02-06T13:39:55Z,67,0,0,JavaScript,0
awesome-courses,62477,2014-11-15T18:36:49Z,58,0,0,,0
awesome-nodejs,62392,2014-07-11T13:35:34Z,18,0,0,,0
socket.io,62351,2010-03-11T18:24:48Z,210,0,75,TypeScript,0
sway,62163,2021-01-19T20:54:33Z,884,0,178,Rust,0
docusaurus,61496,2017-06-20T16:13:53Z,348,0,151,TypeScript,0
redux,61323,2015-05-29T23:53:15Z,44,0,78,TypeScript,0
Prompt-Engineering-Guide,61234,2022-12-16T16:04:50Z,223,0,0,MDX,0
lodash,60908,2012-04-07T04:11:46Z,121,0,2,JavaScript,4228
llm-course,60603,2023-06-17T22:16:25Z,66,19,0,,30
atom,60599,2012-01-20T18:18:21Z,994,5233,538,JavaScript,16146
Front-end-Developer-Interview-Questions,60534,2012-02-09T23:34:10Z,39,703,0,Nunjucks,143
architect-awesome,60417,2018-04-06T13:30:58Z,65,79,0,,22
open-interpreter,60364,2023-07-14T07:10:44Z,275,583,48,Python,797
localstack,60286,2016-10-25T23:48:03Z,293,6980,94,Python,5763
alacritty,60126,2016-02-18T05:02:30Z,334,2470,101,Rust,5803
prometheus,60115,2012-11-24T11:14:12Z,733,10237,342,Go,5647
markdown-here,60001,2012-05-13T03:27:22Z,315,88,17,JavaScript,329
rustlings,59772,2015-09-15T02:25:18Z,68,1509,46,Rust,689
ghidra,59743,2019-03-01T03:27:48Z,1755,1526,46,Java,4080
jquery,59555,2009-04-03T15:20:14Z,94,3082,11,JavaScript,2286
nerd-fonts,59364,2014-12-05T04:31:17Z,42,644,38,CSS,1062
tldr,59027,2013-12-08T07:34:43Z,199,16108,6,Markdown,1346
shadowsocks-windows,58995,2013-01-14T07:54:16Z,196,474,55,C#,0
angular.js,58764,2010-01-06T00:34:37Z,463,0,0,JavaScript,0
spring-framework,58729,2010-12-08T04:04:45Z,312,0,341,Java,0
llama,58677,2023-02-14T09:29:12Z,500,0,0,Python,0
MetaGPT,58130,2023-06-30T09:04:55Z,67,0,22,Python,0
scrapy,58079,2010-02-22T02:01:14Z,685,0,43,Python,0
nuxt,58041,2016-10-26T11:18:47Z,874,0,256,TypeScript,0
uBlock,58001,2015-04-01T17:51:11Z,18,0,277,JavaScript,0
leetcode-master,57983,2019-12-14T12:05:42Z,232,0,0,Shell,0
fuel-core,57545,2020-08-27T21:12:14Z,166,0,123,Rust,0
rails,57356,2008-04-11T02:19:47Z,1299,0,149,Ruby,0
html5-boilerplate,57151,2010-01-24T18:03:24Z,19,0,34,JavaScript,0
awesome-flutter,57002,2017-05-07T11:45:27Z,30,0,0,Dart,0
LLaMA-Factory,56891,2023-05-28T10:09:12Z,625,0,34,Python,0
nocodb,56659,2017-10-29T18:51:48Z,680,0,174,TypeScript,0
vllm,56569,2023-02-09T11:23:20Z,2865,0,73,Python,0
private-gpt,56522,2023-05-02T09:15:31Z,278,0,10,Python,0
drawio-desktop,56496,2017-05-25T20:58:42Z,66,0,159,JavaScript,0
DeepLearning-500-questions,56492,2018-06-27T06:36:45Z,120,0,0,JavaScript,0
you-get,56370,2012-08-20T15:53:36Z,383,1080,123,Python,0
mkcert,56290,2018-06-25T05:33:03Z,160,173,14,Go,239
traefik,56270,2015-09-13T19:04:02Z,668,5571,483,Go,5713
git,56237,2008-07-23T14:21:26Z,256,1707,0,C,0
awesome-chatgpt-prompts-zh,56039,2022-12-12T01:55:03Z,41,58,0,,58
openpilot,55932,2016-11-24T01:33:30Z,153,15676,58,Python,2932
gatsby,55910,2015-05-21T22:43:05Z,354,22316,156,JavaScript,13903
leetcode,55585,2018-03-30T09:13:51Z,11,315,40,JavaScript,248
Magisk,55543,2016-09-08T12:42:53Z,46,2694,151,Kotlin,6228
react-router,55422,2014-05-16T22:22:51Z,124,4555,311,TypeScript,8061
face_recognition,55334,2017-03-03T21:52:39Z,819,240,2,Python,595
yolov5,55148,2020-05-18T03:45:11Z,294,2863,10,Python,9171
Real-Time-Voice-Cloning,54922,2019-05-26T08:56:15Z,226,103,0,Python,896
ripgrep,54888,2016-03-11T02:02:33Z,185,923,72,Rust,1580
minio,54872,2015-01-14T19:23:58Z,56,11100,519,Go,7780
gpt-engineer,54790,2023-04-29T12:52:15Z,49,0,20,Python,0
AFFiNE,54616,2022-07-31T18:45:21Z,353,0,577,TypeScript,0
faceswap,54442,2017-12-19T09:44:13Z,41,0,4,Python,0
zustand,54376,2019-04-09T09:10:06Z,5,0,98,TypeScript,0
element,54242,2016-09-03T06:19:26Z,2936,0,145,Vue,0
bat,54163,2018-04-21T10:52:23Z,335,0,41,Rust,0
ChatGPT,54055,2022-12-07T09:43:02Z,873,0,34,Rust,0
project-layout,53637,2017-09-09T16:33:26Z,94,0,0,Makefile,0
awesome-android-ui,53539,2014-12-24T01:45:03Z,37,0,0,,0
rich,53487,2019-11-10T15:28:09Z,291,0,170,Python,0
hackingtool,53405,2020-04-11T09:21:31Z,70,0,0,Python,0
normalize.css,53368,2011-05-04T10:20:25Z,86,0,0,CSS,0
requests,53225,2011-02-13T18:38:17Z,277,0,14,Python,0
maybe,53196,2024-01-01T22:23:46Z,0,0,28,Ruby,0
PaddleOCR,53135,2020-05-08T10:38:16Z,205,0,24,Python,0
pi-hole,53083,2014-06-08T15:02:55Z,56,0,118,Shell,0
astro,53052,2021-03-15T17:19:47Z,199,0,2483,TypeScript,0
firecrawl,53001,2024-04-15T21:02:29Z,205,0,24,TypeScript,0
meilisearch,52960,2018-04-23T11:45:28Z,259,0,268,Rust,0
FFmpeg,52733,2011-04-14T14:12:38Z,3,0,0,C,0
appwrite,52502,2019-04-08T16:36:25Z,818,0,112,TypeScript,3469
awesome-rust,52299,2014-07-17T10:45:10Z,12,1837,0,Rust,132
rclone,52295,2014-03-16T16:19:57Z,1157,2875,115,Go,4825
github-cheat-sheet,52225,2014-04-12T16:38:42Z,39,171,0,,48
material-design-icons,52030,2014-10-08T18:01:28Z,376,173,16,,1159
ionic-framework,52012,2013-08-20T23:06:02Z,604,8250,914,TypeScript,21481
dive,51848,2018-05-13T15:44:01Z,179,275,28,Go,202
crawl4ai,51729,2024-05-09T09:48:50Z,249,283,8,Python,649
pdf.js,51701,2011-04-26T06:32:03Z,459,9378,76,JavaScript,9876
segment-anything,51658,2023-03-23T17:03:03Z,580,123,0,Jupyter Notebook,178
OpenBB,51538,2020-12-20T10:46:38Z,56,4725,46,Python,2208
core,51428,2018-06-12T13:49:36Z,1076,5547,247,TypeScript,5110
Docker-OSX,51259,2020-06-04T11:01:37Z,405,138,0,Shell,282
Semantic-UI,51200,2013-04-08T23:32:04Z,1077,867,154,JavaScript,5268
kotlin,51167,2012-02-13T17:29:58Z,192,5445,266,Kotlin,0
trackerslist,51161,2016-04-24T11:57:57Z,6,58,0,,0
marktext,51100,2017-11-12T16:05:25Z,1325,0,36,JavaScript,0
guava,51051,2014-05-29T16:23:17Z,719,0,56,Java,0
joplin,51034,2017-01-16T21:49:41Z,572,0,386,TypeScript,0
prettier,50890,2016-11-29T17:13:37Z,1484,0,127,JavaScript,0
starship,50792,2019-04-02T03:23:12Z,926,0,135,Rust,0
powerlevel10k,50708,2019-02-24T19:09:45Z,126,0,33,Shell,0
jekyll,50544,2008-10-20T06:29:03Z,222,0,112,Ruby,0
grok-1,50462,2024-03-17T08:53:38Z,121,0,0,Python,0
Ghost,50449,2013-05-04T11:09:13Z,176,0,903,JavaScript,0
GPT-SoVITS,50422,2024-01-14T18:05:21Z,794,0,4,Python,0
gitea,50369,2016-11-01T02:13:26Z,2792,0,216,Go,0
ImHex,50269,2020-11-10T14:27:00Z,250,0,80,C++,0
DefinitelyTyped,50251,2012-10-05T16:39:45Z,721,0,1,TypeScript,0
etcd,50165,2013-07-06T21:57:21Z,282,0,259,Go,0
pocketbase,50140,2022-07-05T06:06:21Z,20,0,221,Go,0
first-contributions,50082,2016-09-20T14:35:09Z,128,0,0,,0
chinese-poetry,49995,2016-09-02T03:32:25Z,126,0,1,JavaScript,0
bulma,49924,2016-01-23T23:48:34Z,505,0,22,CSS,0
cline,49834,2024-07-06T07:28:10Z,522,0,147,TypeScript,1827
awesome-ios,49739,2014-07-10T16:03:45Z,13,2688,0,Swift,486
go-ethereum,49637,2013-12-26T13:05:46Z,293,12160,219,Go,8298
OpenManus,49271,2025-03-06T14:08:14Z,535,443,3,Python,317
hiring-without-whiteboards,49180,2017-03-15T05:09:01Z,24,1460,0,JavaScript,0
autogen,49177,2023-08-18T11:43:45Z,475,3184,97,Python,2467
Motrix,49018,2018-12-18T11:45:05Z,762,281,21,JavaScript,593
mastodon,48914,2016-02-22T15:01:25Z,4293,21133,289,Ruby,8238
30-Days-Of-Python,48884,2019-11-19T17:24:16Z,196,415,0,Python,79
cypress,48842,2015-03-04T00:46:28Z,1329,9052,373,TypeScript,13798
awesome-wechat-weapp,48834,2016-09-22T20:04:48Z,2,302,0,,0
hacker-scripts,48654,2015-11-21T19:05:09Z,67,141,0,JavaScript,53
vaultwarden,48472,2018-02-17T22:40:20Z,23,1185,73,Rust,2363
anything-llm,48414,2023-06-04T02:29:14Z,304,1423,20,JavaScript,2493
alist,48313,2020-12-23T17:40:29Z,586,1073,137,Go,3802
PowerShell,48298,2016-01-13T23:41:35Z,1275,9446,186,C#,0
RxJava,48265,2013-01-08T20:11:48Z,13,0,241,Java,0
dayjs,48174,2018-04-10T09:26:44Z,1138,0,121,JavaScript,0
moment,48090,2011-03-01T02:46:06Z,293,0,0,JavaScript,0
